URL,Occurrences,Rank
https://www.nissan.ca/vehicles/crossovers-suvs/armada.html,30,1
https://www.nissan.ca/vehicles/crossovers-suvs.html,17,2
https://nissan.ca,9,3
https://www.nissan.ca/,9,4
https://www.nissan.ca/vehicles/all-vehicles.html,8,5
https://www.nissan.ca/business-fleet.html,8,6
https://www.nissan.ca/shopping-tools/at-home-shopping.html,8,7
https://www.nissan.ca/partnerships.html,7,8
https://www.nissan.ca/experience-nissan/dei.html,7,9
https://www.nissan.ca/offers.html,7,10
https://www.nissan.ca/vehicles/crossovers-suvs/rogue.html,7,11
https://www.nissan.ca/vehicles/crossovers-suvs/murano.html,7,12
https://www.nissan.ca/shopping-tools/drive-at-home.html,7,13
https://www.nissan.ca/vehicles/sports-cars/z.html,7,14
https://www.nissan.ca/vehicles/crossovers-suvs/kicks.html,7,15
https://www.nissan.ca/vehicles/sports-cars/gt-r.html,7,16
https://www.nissan.ca/about/nissan-customer-promise.html,7,17
https://www.nissan.ca/vehicles/electric-cars/leaf.html,7,18
https://www.nissan.ca/vehicles/cars/versa.html,7,19
https://www.nissan.ca/vehicles/cars/altima.html,7,20
https://www.nissan.ca/experience-nissan/future-and-concept-cars.html,7,21
https://www.nissan.ca/finance/leasing-and-financing-options/finance-options.html,7,22
https://www.nissan.ca/vehicles/electric-vehicles.html,7,23
https://www.nissan.ca/finance/credit-application.html,7,24
https://www.nissan.ca/owners/parts-and-accessories.html,7,25
https://www.nissan.ca/certified-pre-owned.html,7,26
https://www.nissan.ca/vehicles/crossovers-suvs/pathfinder.html,7,27
https://www.nissan.ca/vehicles/trucks/frontier.html,7,28
https://www.nissan.ca/vehicles/cars/sentra.html,7,29
https://www.nissan.ca/vehicles/electric-cars/ariya.html,7,30
https://www.nissan.ca/experience-nissan/ev-education.html,7,31
https://www.nissan.ca/shopping-tools/search-inventory,1,32
https://www.nissan.ca/shopping-tools/build-price,1,33
